event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags,season,event_category_num,registration_type_num,cluster
12290,My French Film Festival - Feb 9th,Entertainment,Free,2016-02-09 17:00:00,2016-02-09 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12291,Film - Coup de chaud,Entertainment,Free,2016-02-09 19:00:00,2016-02-09 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12292,Film - Caprice,Entertainment,Free,2016-02-08 19:00:00,2016-02-08 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12293,Film - La Belle Saison,Entertainment,Free,2016-02-10 16:30:00,2016-02-10 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12294,Film - LAffaire SK1,Entertainment,Free,2016-02-10 19:00:00,2016-02-10 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12295,Film - Les Chateâux de sables,Entertainment,Free,2016-02-11 19:00:00,2016-02-11 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12297,Superchef - Kids team (of 2),Entertainment,Paid,2016-02-27 08:00:00,2016-02-28 00:00:00,The Park,Chennai,Contests,3,1,1,1
12298,Superchef - Adult Individual,Entertainment,Paid,2016-02-27 08:00:00,2016-02-28 00:00:00,The Park,Chennai,Contests,3,1,1,1
12303,Sand Sculpting,Sports,Free,2016-02-07 13:00:00,2016-02-07 15:00:00,Marina Beach,Chennai,Sports,3,4,0,2
12305,G3 Valentines Day Ride ,Sports,Paid,2016-02-14 05:00:00,2016-02-14 00:00:00,Turiyaa,Chennai,Sports Other,3,4,1,2
12309,Ciné Club - Le Dernier Diamant,Entertainment,Free,2016-02-25 16:30:00,2016-02-25 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12311,Kalki - in Ponniyin Selvan,Entertainment,Paid,2016-02-21 18:00:00,2016-02-21 21:00:00,Narada Gana Sabha A/c,Chennai,Theatre,3,1,1,1
12317,10K- Marina Runnerz Marathon Offline,Sports,Paid,2016-02-28 05:00:00,2016-02-28 00:00:00,Swami Sivananda Salai,Chennai,Sports,3,4,1,2
12320,5K - Marina Runnerz Marathon Offline ,Sports,Paid,2016-02-28 06:00:00,2016-02-28 00:00:00,Swami Sivananda Salai,Chennai,Sports,3,4,1,2
12321,AUTO RENOVATE,Conferences,Paid,2016-03-12 09:00:00,2016-03-13 17:00:00,"College of Engineering,Guindy",Chennai,Learning & Workshops,1,0,1,6
12327,TCS ~ Ridley Run ‘16 ,Sports,Paid,2016-02-21 06:00:00,2016-02-21 08:00:00,Marina Beach,Chennai,Sports,3,4,1,2
12337,10 K - Cool Runners Half marathon ,Sports,Paid,2016-03-20 05:45:00,2016-03-20 00:00:00,YMCA,Chennai,Sports,1,4,1,0
12338,Half Marathon - Cool Runners Half Marathon,Sports,Paid,2016-03-20 05:00:00,2016-03-20 00:00:00,YMCA,Chennai,Sports,1,4,1,0
12342,Dil Toh Baccha Hai Ji (Non Seated),Entertainment,Paid,2016-02-26 19:15:00,2016-02-26 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Comedy,3,1,1,1
12348,Kean 13 Feb,Entertainment,Free,2016-02-13 19:15:00,2016-02-13 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,3,1,0,1
12357,Radio Mirchi Holi Run Chennai,Sports,Paid,2016-03-27 06:00:00,2016-03-27 00:00:00,YMCA,Chennai,Sports,1,4,1,0
12368,Aikya 2016,Entertainment,Paid,2016-03-11 19:30:00,2016-03-11 00:00:00,The Music Academy,Chennai,Music and Dance,1,1,1,6
12383,Test,Sports,Free,2016-02-20 00:00:00,2016-02-20 01:00:00,Test,Chennai,Sports,3,4,0,2
12418,KANCHI MAHAAN,Entertainment,Paid,2016-03-05 18:00:00,2016-03-05 00:00:00,Narada Gana Sabha,Chennai,Music and Dance,1,1,1,6
