event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags
11348,CHOCOLATE KRISHNA,Entertainment,Paid,2015-09-06 19:00:00,2015-09-06 00:00:00,Russian Cultural Centre,Chennai,Comedy
11355,PAYANAM,Entertainment,Paid,2015-09-20 18:00:00,2015-09-20 20:45:00,SPACES,Chennai,Theatre
11359,Loyola Alumni Day,Entertainment,Paid,2015-10-02 09:00:00,2015-10-02 00:00:00,Loyola College Campus,Chennai,Music and Dance
11362,Cook & Bake Along with MasterChef Renae Smith,Entertainment,Paid,2015-09-26 10:00:00,2015-09-27 18:30:00,Food Consulate,Chennai,Variety
11363,Ovalcrew Fitness Bootcamp,Entertainment,Paid,2015-10-01 09:00:00,2015-12-31 00:00:00,"Plot no 496, Beachmain Road, Kapaleeswarnagar",Chennai,Variety
11379,Kala Pradarshini,Entertainment,Paid,2015-09-29 18:00:00,2015-09-29 21:00:00,Narada Gana Sabha,Chennai,Music and Dance
11380,Kaadhula Poo 13 Sep,Entertainment,Paid,2015-09-13 19:00:00,2015-09-13 21:00:00,VANI MAHAL ,Chennai,Theatre
11382,Chennai Duathlon Oct,Sports,Paid,2015-10-11 05:00:00,2015-10-11 00:00:00,DLF GardenCity,Chennai,Sports
11386,Marie Kroyer,Entertainment,Paid,2015-09-24 18:30:00,2015-09-24 00:00:00,Edouard Michelin Auditorium,Chennai,Movies
11388,Nordvest,Entertainment,Paid,2015-09-26 18:00:00,2015-09-26 19:30:00,Edouard Michelin Auditorium,Chennai,Movies
11389,The Keeper of Lost Causes,Entertainment,Paid,2015-09-26 19:30:00,2015-09-26 00:00:00,Edouard Michelin Auditorium,Chennai,Movies
11390, Soppana Vaazhvil 20 Sep,Entertainment,Paid,2015-09-20 16:00:00,2015-09-20 00:00:00,VANI MAHAL,Chennai,Theatre
11392,Isaiyin Imayam - MS Subbulakshmi,Entertainment,Paid,2015-09-15 17:30:00,2015-09-15 00:00:00,Lady Andal Auditorium,Chennai,Music and Dance
11398,Concert by Anil Srinivasan And Sikkil Gurucharan,Entertainment,Paid,2015-09-19 18:00:00,2015-09-19 00:00:00,"Club Opal,Olympia Opaline,",Chennai,Music and Dance
11402, Chill Bump,Entertainment,Paid,2015-09-25 19:00:00,2015-09-25 00:00:00,Museum Theatre,Chennai,Movies
11403,Papa CJ Naked,Entertainment,Paid,2015-10-24 19:00:00,2015-10-24 00:00:00,SMVRCH,Chennai,Comedy
